"id";"nome";"tipo";"created_at";"updated_at"
109;"MERCEDES-BENZ";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
110;"NAVISTAR";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
111;"NEOBUS";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
112;"PUMA-ALFA";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
113;"SAAB-SCANIA";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
114;"SCANIA";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
115;"VOLKSWAGEN";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
116;"VOLVO";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
117;"BUELL";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
118;"KASINSKI";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
119;"TRAXX";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
120;"Walk";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
121;"CICCOBUS";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
122;"IVECO";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
123;"Bugre";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
125;"SSANGYONG";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
126;"MIZA";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
127;"LOBINI";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
128;"FYM";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
129;"KAHENA";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
130;"BRAVA";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
131;"AMAZONAS";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
132;"FOX";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
133;"GREEN";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
134;"SHINERAY";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
135;"WUYANG";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
136;"CHANA";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
137;"DAYANG";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
138;"HAOBAO";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
139;"LERIVO";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
140;"Mahindra";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
141;"JIAPENG VOLCANO";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
142;"DAYUN";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
143;"GARINNI";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
144;"WALKBUS";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
145;"DAFRA";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
146;"Malaguti";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
147;"EFFA";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
148;"Lon-V";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
149;"Fibravan";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
150;"BRP";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
151;"JONNY";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
152;"HAFEI";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
153;"GREAT WALL";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
154;"JINBEI";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
155;"BUENO";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
156;"MINI";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
157;"smart";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
158;"IROS";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
159;"LANDUM";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
160;"MRX";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
161;"Caoa Chery/Chery";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
162;"Benelli";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
163;"Wake";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
164;"PEGASSI";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
165;"TAC";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
166;"SINOTRUK";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
167;"MG";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
168;"LIFAN";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
170;"Fyber";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
171;"LAMBORGHINI";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
173;"REGAL RAPTOR";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
174;"JOHNNYPAG";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
